Request Date,Status,Closure Date,Department,Request Type,Request Category,Duration (days),Satisfaction Rating
2024-10-01,Resolved,2024-10-03,Marketing,Issue,Other,2,3.0
2024-09-02,In Progress,,Sales,Issue,Software,238,
2024-01-23,Resolved,2024-02-12,Sales,Service,Security,20,5.0
2024-03-29,In Progress,,Operations,Service,Access Rights,395,
2024-01-27,Open,,Finance,Service,Software,457,
2024-12-17,Resolved,2025-01-16,Marketing,Service,Software,30,5.0
2024-01-13,Resolved,2024-01-29,HR,Issue,Other,16,5.0
2024-11-29,Resolved,2024-12-06,Marketing,Service,Software,7,5.0
2024-05-08,Resolved,2024-05-11,Admin,Service,Other,3,3.0
2024-01-28,Closed,2024-02-14,Finance,Issue,Other,17,3.0
2024-07-18,In Progress,,Marketing,Issue,Other,284,
2024-04-02,Resolved,2024-04-07,Operations,Issue,Other,5,4.0
2024-04-18,Resolved,2024-05-18,HR,Issue,Software,30,3.0
2024-09-16,Cancelled,,Operations,Service,Access Rights,224,
2024-07-07,In Progress,,IT,Issue,Network,295,
2024-03-24,Resolved,2024-04-15,Sales,Issue,Software,22,5.0
2024-07-28,Cancelled,,HR,Issue,Network,274,
2024-02-21,Resolved,2024-02-25,Operations,Issue,Other,4,5.0
2024-10-07,Open,,Sales,Issue,Network,203,
2024-12-29,In Progress,,Operations,Service,Network,120,
2024-12-08,Resolved,2024-12-28,Sales,Issue,Hardware,20,4.0
2024-08-09,Open,,Sales,Issue,Other,262,
2024-08-11,Closed,2024-09-01,Admin,Issue,Hardware,21,5.0
2024-07-02,Resolved,2024-07-05,Sales,Service,Access Rights,3,3.0
2024-04-04,Closed,2024-04-07,Finance,Service,Security,3,4.0
2024-10-31,Resolved,2024-11-06,Finance,Service,Software,6,4.0
2024-07-02,Open,,IT,Service,Hardware,300,
2024-11-09,Resolved,2024-11-26,Sales,Service,Email,17,4.0
2024-06-07,Resolved,2024-06-10,Operations,Service,Email,3,4.0
2024-03-14,Resolved,2024-04-13,HR,Service,Software,30,4.0
2024-02-06,Resolved,2024-02-15,Admin,Issue,Software,9,4.0
2024-02-07,Resolved,2024-02-25,Operations,Issue,Security,18,3.0
2024-09-12,Closed,2024-09-26,Operations,Issue,Security,14,4.0
2024-06-16,Closed,2024-07-14,HR,Service,Software,28,4.0
2024-05-17,Resolved,2024-05-27,IT,Issue,Access Rights,10,5.0
2024-06-13,Open,,Finance,Issue,Hardware,319,
2024-06-08,Resolved,2024-07-02,IT,Service,Access Rights,24,4.0
2024-06-30,Resolved,2024-07-26,Sales,Service,Access Rights,26,4.0
2024-12-01,In Progress,,Admin,Issue,Security,148,
2024-10-10,Resolved,2024-10-14,Sales,Service,Security,4,5.0
2024-01-22,Open,,Marketing,Issue,Network,462,
2024-09-18,Resolved,2024-10-18,Sales,Service,Network,30,3.0
2024-09-10,Resolved,2024-10-06,IT,Service,Email,26,4.0
2024-09-07,Resolved,2024-09-13,Admin,Issue,Other,6,3.0
2024-02-08,Closed,2024-03-07,Finance,Issue,Security,28,3.0
2024-01-24,Resolved,2024-02-18,Admin,Service,Email,25,5.0
2024-06-05,Resolved,2024-07-01,Finance,Issue,Other,26,4.0
2024-10-09,Resolved,2024-10-27,IT,Service,Hardware,18,2.0
2024-05-11,Resolved,2024-05-24,IT,Issue,Access Rights,13,5.0
2024-11-06,In Progress,,Finance,Service,Software,173,
2024-11-30,Resolved,2024-12-08,Sales,Issue,Access Rights,8,4.0
2024-02-12,Closed,2024-02-26,Finance,Issue,Security,14,2.0
2024-04-06,Closed,2024-04-10,Marketing,Issue,Software,4,2.0
2024-03-15,In Progress,,Sales,Issue,Hardware,409,
2024-03-14,Closed,2024-04-07,Operations,Issue,Access Rights,24,5.0
2024-07-27,Resolved,2024-08-10,IT,Issue,Access Rights,14,5.0
2024-06-23,Open,,Operations,Issue,Email,309,
2024-02-24,Resolved,2024-03-07,Sales,Service,Other,12,2.0
2024-06-12,Resolved,2024-06-25,Finance,Issue,Network,13,3.0
2024-03-12,Closed,2024-04-03,Sales,Issue,Network,22,3.0
2024-04-18,Resolved,2024-05-14,HR,Service,Network,26,3.0
2024-06-28,Resolved,2024-07-25,HR,Service,Network,27,5.0
2024-04-07,Resolved,2024-05-02,Marketing,Service,Hardware,25,2.0
2024-12-05,Open,,Marketing,Service,Email,144,
2024-12-24,In Progress,,Sales,Service,Network,125,
2024-01-30,Closed,2024-02-11,HR,Service,Network,12,5.0
2024-06-21,Resolved,2024-06-30,Sales,Service,Email,9,2.0
2024-11-09,Resolved,2024-11-12,Admin,Service,Security,3,4.0
2024-11-30,Resolved,2024-12-17,Marketing,Service,Software,17,3.0
2024-11-28,Open,,Sales,Issue,Software,151,
2024-08-01,Cancelled,,Admin,Service,Software,270,
2024-02-08,Resolved,2024-03-02,Finance,Service,Software,23,5.0
2024-01-20,Closed,2024-01-25,IT,Issue,Access Rights,5,2.0
2024-09-10,Resolved,2024-09-30,Operations,Issue,Software,20,4.0
2024-07-28,Resolved,2024-08-23,Admin,Issue,Network,26,5.0
2024-11-20,Resolved,2024-12-05,Operations,Service,Software,15,5.0
2024-01-06,Resolved,2024-01-20,IT,Issue,Software,14,5.0
2024-02-06,Resolved,2024-02-11,Operations,Issue,Hardware,5,4.0
2024-12-25,Open,,Operations,Service,Network,124,
2024-10-19,Open,,HR,Issue,Other,191,
2024-11-25,Resolved,2024-11-29,Admin,Issue,Security,4,4.0
2024-04-01,Resolved,2024-05-01,IT,Issue,Other,30,5.0
2024-03-05,Resolved,2024-03-24,HR,Issue,Network,19,4.0
2024-06-06,Resolved,2024-06-10,Marketing,Service,Other,4,4.0
2024-07-07,Resolved,2024-07-15,Admin,Issue,Access Rights,8,5.0
2024-07-05,Resolved,2024-08-04,Sales,Service,Access Rights,30,4.0
2024-03-24,In Progress,,Sales,Service,Hardware,400,
2024-12-01,Resolved,2024-12-02,HR,Issue,Hardware,1,3.0
2024-06-04,Resolved,2024-06-09,Finance,Issue,Network,5,5.0
2024-12-16,Open,,Operations,Service,Software,133,
2024-01-23,Resolved,2024-02-02,Admin,Service,Hardware,10,5.0
2024-03-04,Closed,2024-03-09,Marketing,Service,Network,5,3.0
2024-05-27,Open,,Operations,Service,Hardware,336,
2024-01-01,Resolved,2024-01-16,HR,Issue,Access Rights,15,4.0
2024-05-31,Resolved,2024-06-14,Sales,Service,Hardware,14,2.0
2024-04-12,Resolved,2024-05-04,HR,Issue,Access Rights,22,3.0
